subset,method,target_coverage,actual_coverage_pct,selective_country_acc_pct
clean,no_abstention,1.0,100.0,62.36363636363637
corrupted,no_abstention,1.0,100.0,38.03896103896104
clean,entropy_threshold,1.0,99.90909090909092,62.42038216560509
clean,entropy_threshold,0.9,89.45454545454545,67.3780487804878
clean,entropy_threshold,0.8,78.27272727272727,71.66085946573752
clean,entropy_threshold,0.7,71.0,73.8796414852753
clean,entropy_threshold,0.6,58.909090909090914,78.08641975308642
clean,entropy_threshold,0.5,48.90909090909091,81.97026022304833
corrupted,entropy_threshold,1.0,98.72077922077922,38.45951456949287
corrupted,entropy_threshold,0.9,66.62987012987013,45.71679173569827
corrupted,entropy_threshold,0.8,51.23376623376623,49.93662864385298
corrupted,entropy_threshold,0.7,42.05194805194805,53.41260037059914
corrupted,entropy_threshold,0.6,29.57142857142857,58.849363197189284
corrupted,entropy_threshold,0.5,22.18831168831169,62.86215978928885
clean,logistic_regression,0.0,100.0,62.36363636363637
clean,logistic_regression,0.3,88.45454545454545,67.62589928057554
clean,logistic_regression,0.4,78.18181818181819,71.51162790697676
clean,logistic_regression,0.5,70.0,74.15584415584415
clean,logistic_regression,0.6,60.18181818181818,77.94561933534743
clean,logistic_regression,0.7,44.45454545454545,84.86707566462167
corrupted,logistic_regression,0.0,100.0,38.03896103896104
corrupted,logistic_regression,0.3,63.149350649350644,46.63239074550128
corrupted,logistic_regression,0.4,51.13636363636363,50.234920634920634
corrupted,logistic_regression,0.5,39.94805194805195,54.713914174252274
corrupted,logistic_regression,0.6,29.519480519480517,59.5468543774747
corrupted,logistic_regression,0.7,18.227272727272727,66.29853936587104
